一,いち|ひと|かず|いつ|,One
二,に|ふた|,Two
九,く|きゅう|ここの|,Nine
七,しち|なな|なの|,Seven
人,にん|じん|ひと|と|,Person
入,にゅう|はい|い|,Enter
八,はち|や|よう|,Eight
力,りょく|りき|ちから|,Power|Strength
十,じゅう|とお|,Ten
三,さん|み|,Three
上,じょう|うえ|あ|のぼ|うわ|かみ|,Above|Up|Over
下,か|げ|した|さ|くだ|お|,Below|Down|Under|Beneath
口,こう|く|くち|,Mouth
大,たい|だい|おお|ひろ|,Big|Large
女,じょ|おんな|め|,Woman
山,さん|やま|,Mountain
川,せん|かわ|,River
工,こう|く|,Construction|Industry
刀,とう|かたな|,Sword|Katana
土,ど|と|つち|,Dirt|Soil|Earth|Ground
千,せん|ち|,Thousand
夕,せき|ゆう|,Evening
子,し|す|こ|,Child|Kid
小,しょう|ちい|こ|お|,Small|Little
丁,ちょう|てい|,Street
了,りょう|,Finish|Complete|End
又,また|,Again
丸,がん|まる|,Circle|Circular|Round
才,さい|,Genius
中,ちゅう|なか|,Middle|In|Inside|Center
五,ご|いつ|,Five
六,ろく|む|,Six
円,えん|まる|,Yen|Round|Circle
天,てん|あま|,Heaven
手,しゅ|て|ず|,Hand
文,ぶん|もん|,Writing|Sentence
日,にち|じつ|ひ|か|び|,Sun|Day
月,げつ|がつ|つき|,Moon|Month
木,もく|き|こ|ぼく|,Tree|Wood
水,すい|みず|,Water
火,か|ひ|ほ|,Fire
犬,けん|いぬ|,Dog
王,おう|,King
出,しゅつ|で|だ|,Exit
右,ゆう|う|みぎ|,Right
四,し|よん|よ|,Four
左,さ|ひだり|,Left
本,ほん|もと|,Book|Origin|Real|Main
正,せい|しょう|ただ|まさ|,Correct
玉,ぎょく|たま|,Ball
田,でん|た|,Rice Paddy|Rice Field|Field
白,はく|しろ|しら|,White
目,もく|め|,Eye
石,せき|いし|,Stone
立,りつ|りゅう|た|,Stand
万,まん|ばん|,Ten Thousand
久,きゅう|く|ひさ|,Long Time
今,こん|いま|,Now
元,げん|がん|もと|,Origin
公,こう|,Public
内,ない|うち|,Inside|Within
分,ぶん|ふん|ぶ|わ|,Part|Minute|Separate|Understand
切,せつ|き|,Cut
午,ご|,Noon
友,ゆう|とも|,Friend
太,たい|た|ふと|おお|,Fat
少,しょう|すこ|,Few|A Little
引,いん|ひ|,Pull
心,しん|こころ|,Heart
戸,こ|と|,Door
方,ほう|かた|,Direction|Way
牛,ぎゅう|うし|,Cow
父,ふ|ちち|,Father|Dad
毛,もう|け|,Fur|Hair
止,し|と|や|,Stop
兄,きょう|あに|,Older Brother|Big Brother|Elder Brother
冬,とう|ふゆ|,Winter
北,ほく|きた|,North
半,はん|なか|,Half
古,こ|ふる|,Old
台,だい|たい|,Machine
外,がい|そと|はず|,Outside
市,し|いち|,City
広,こう|ひろ|,Wide
母,ぼ|はは|,Mother|Mom|Mum
用,よう|もち|,Task|Use
矢,し|や|,Arrow
世,せ|せい|よ|,World|Generation
主,しゅ|おも|ぬし|,Master|Main
他,た|ほか|,Other
代,だい|か|かわ|しろ|,Substitute|Replace|Period|Age
写,しゃ|うつ|,Copy
去,きょ|こ|さ|,Past
号,ごう|,Number
央,おう|,Center|Centre
平,へい|ひょう|びょう|たいら|ひら|,Flat|Peace
打,だ|う|ぶ|,Hit
氷,ひょう|こおり|,Ice
申,しん|もう|,Say Humbly|Say|Humbly Say
皮,ひ|かわ|,Skin
皿,さら|,Plate|Dish
礼,れい|,Thanks
休,きゅう|やす|,Rest
先,せん|さき|まず|,Previous|Ahead|Past|Former
名,めい|みょう|な|,Name|Famous
字,じ|,Letter|Character|Symbol
年,ねん|とし|,Year
早,そう|はや|さ|,Early|Fast|Quick
気,き|け|いき|,Energy|Spirit
百,ひゃく|もも|,Hundred
竹,たけ|,Bamboo
糸,し|いと|,Thread
耳,じ|みみ|,Ear|Ears
虫,ちゅう|き|むし|,Insect|Bug
村,そん|むら|,Village
男,だん|おとこ|なん|,Man
町,ちょう|まち|,Town
花,か|け|はな|,Flower
見,けん|み|,See
貝,かい|,Shellfish|Shell
赤,せき|あか|,Red
足,そく|あし|た|,Foot|Leg|Sufficient
車,しゃ|くるま|,Car
不,ふ|,Not
仕,し|つか|,Doing|Do
交,こう|まじ|ま|か|,Mix|Mingle
会,かい|あ|,Meet
光,こう|ひかり|ひか|,Sunlight|Light
同,どう|おな|,Same
回,かい|まわ|,Times|Revolve
多,た|おお|,Many|Much|Lots Of
当,とう|あ|,Correct|Right|Success
毎,まい|ごと|,Every
池,ち|いけ|,Pond
米,べい|まい|こめ|,Rice|America
羽,う|はね|は|わ|,Feather|Feathers|Wing|Wings
考,こう|かんが|,Think|Consider
肉,にく|,Meat
自,じ|し|,Self
色,しき|しょく|いろ|,Color
行,こう|ぎょう|い|おこな|ゆ|,Go
西,せい|さい|にし|,West
何,か|なに|なん|,What
体,たい|からだ|,Body
作,さく|さ|つく|,Make
図,ず|と|え|はか|,Diagram
声,せい|こえ|,Voice
売,ばい|う|,Sell
弟,だい|で|てい|おとうと|,Younger Brother|Little Brother
形,けい|ぎょう|かた|かたち|,Shape|Form|Appearance
来,らい|く|,Come|Next
社,しゃ|やしろ|,Company
角,かく|かど|つの|,Angle|Corner
言,げん|ごん|い|こと|,Say
谷,こく|たに|せ|,Valley
走,そう|はし|,Run
近,きん|こん|ちか|,Near|Close
里,り|さと|,Home Village|Home Town
麦,ばく|むぎ|,Wheat
学,がく|まな|,Study|Learn|Learning
林,りん|はやし|,Forest|Woods
空,くう|そら|あ|から|す|,Sky
金,きん|かね|,Gold
雨,う|あめ|あま|,Rain
青,せい|しょう|あお|,Blue
草,そう|くさ|,Grass|Weed
音,おん|おと|ね|,Sound
化,か|ば|,Change
地,ち|じ|,Earth|Ground
両,りょう|,Both
全,ぜん|すべ|まった|,All|Whole
向,こう|む|なた|,Yonder|Facing
安,あん|やす|,Relax|Cheap
州,しゅう|,State|Province|County
曲,きょく|ま|,Music|Bend
有,ゆう|う|あ|,Have
次,じ|つぎ|,Next
死,し|し|,Death
羊,よう|ひつじ|,Sheep
血,けつ|ち|,Blood
京,きょう|みやこ|,Capital
国,こく|くに|,Country
夜,や|よ|よる|,Night|Evening
妹,まい|いもうと|,Younger Sister|Little Sister
姉,し|お|あね|ねえ|,Older Sister|Big Sister|Elder Sister
店,てん|みせ|,Shop|Store
明,めい|あ|あか|あき|,Bright
東,とう|ひがし|,East
歩,ほ|ある|あゆ|,Walk
画,が|かく|,Drawing|Picture|Painting
直,ちょく|じき|なお|,Fix|Direct
知,ち|し|,Know
長,ちょう|なが|は|,Long|Leader
前,ぜん|まえ|,Front|Before
南,なん|みなみ|,South
室,しつ|,Room
後,ご|こう|うし|あと|のち|,Behind|After|Back|Rear
思,し|おも|,Think|Thought
星,せい|ほし|,Star
活,かつ|い|,Lively
海,かい|うみ|,Sea|Ocean
点,てん|つ|,Point|Decimal|Decimal Point
科,か|,Course|Science|Department
茶,ちゃ|さ|,Tea
食,しょく|た|く|,Eat|Meal
首,しゅ|くび|,Neck
欠,けつ|か|,Lack
氏,し|うじ|,Family Name|Last Name|Surname
由,ゆう|よし|よ|,Reason
札,さつ|ふだ|,Bill|Tag|Label|Note
民,みん|たみ|,Peoples|People|Nation
辺,へん|あた|べ|,Area
付,ふ|つ|,Attach
以,い|,From|Since|Compared With|With|By Means Of
失,しつ|うしな|,Fault
必,ひつ|かなら|,Certain
未,み|ま|いま|ひつじ|,Not Yet
末,まつ|すえ|,End
校,こう|,School
夏,げ|か|が|なつ|,Summer
家,か|け|いえ|や|うち|,House|Home
弱,じゃく|よわ|,Weak
時,じ|とき|,Time|O'clock|Hour
紙,し|かみ|,Paper
記,き|しる|,Write Down|Record
通,つう|とお|かよ|,Pass Through
高,こう|たか|,Tall|Expensive|High
強,きょう|つよ|,Strong|Strength
教,きょう|おし|おそ|,Teach
理,り|ことわり|,Reason
組,そ|くみ|,Group|Association|Team
船,せん|ふね|,Boat|Ship
週,しゅう|,Week
雪,せつ|ゆき|,Snow
魚,ぎょ|さかな|,Fish
鳥,ちょう|とり|,Bird
黄,おう|き|,Yellow
黒,こく|くろ|,Black
支,し|ささ|,Support|Branch
住,じゅう|す|,Dwelling|Reside|Dwell
助,じょ|たす|すけ|,Help
医,い|,Medicine
君,くん|きみ|,Buddy
対,たい|,Versus|Opposite
局,きょく|,Bureau|Department
役,やく|,Service|Duty
投,とう|な|,Throw
決,けつ|き|,Decide|Decision
究,きゅう|きわ|,Research
身,しん|み|,Somebody|Someone|Body
者,しゃ|もの|,Someone|Somebody
研,けん|と|,Sharpen
馬,ば|うま|,Horse
森,しん|もり|,Forest|Woods
場,じょう|ば|,Location|Place
朝,ちょう|あさ|,Morning
番,ばん|,Number In A Series|Turn|Ordinal Number
答,とう|こた|,Answer|Response|Reply
絵,え|,Drawing|Painting
買,ばい|か|,Buy
道,どう|みち|,Road|Street|Path|Way
間,かん|けん|あいだ|ま|,Interval|Interval Of Time|Time Interval
雲,うん|くも|,Cloud
数,すう|かぞ|かず|,Count|Number|Amount
楽,らく|がく|たの|,Comfort|Ease|Pleasure
話,わ|はな|はなし|,Talk|Speak
電,でん|,Electricity
所,しょ|ところ|,Place
事,じ|こと|つか|,Action|Matter|Thing
使,し|つか|,Use
具,ぐ|,Tool
受,じゅ|う|,Accept|Receive
和,わ|お|なご|やわ|かず|より|,Peace|Japanese Style
始,し|はじ|,Begin|Start
定,てい|じょう|さだ|,Determine
実,じつ|み|,Truth|Reality
服,ふく|,Clothes|Clothing
泳,えい|およ|,Swim
物,ぶつ|もつ|もの|,Thing
苦,く|くる|にが|,Suffering
表,ひょう|あらわ|おもて|,Express
部,ぶ|へ|,Part|Department|Club
乗,じょう|の|,Ride
客,きゃく|,Guest|Customer
屋,おく|や|,Roof|Shop|Store
度,ど|たく|たび|,Degrees|Occurrence
待,たい|ま|,Wait
持,じ|も|,Hold
界,かい|,World
発,はつ|,Departure
相,そう|しょう|あい|,Mutual
県,けん|,Prefecture
美,び|み|うつく|,Beauty|Beautiful
負,ふ|ま|お|,Lose
送,そう|おく|,Send
重,じゅう|ちょう|おも|かさ|え|,Heavy
談,だん|,Discuss
要,よう|い|かなめ|,Need
勝,しょう|か|,Win
仮,か|かり|,Temporary
起,き|お|,Wake Up
速,そく|はや|,Fast
配,はい|くば|,Distribute
酒,しゅ|さけ|さか|,Alcohol
院,いん|,Institution
終,しゅう|おわ|お|,End|Finish
習,しゅう|なら|,Learn
転,てん|ころ|,Revolve
進,しん|すす|,Advance
落,らく|お|,Fall
葉,よう|は|ば|,Leaf|Leaves
軽,けい|かる|かろ|,Lightweight|Light|Light Weight
運,うん|はこ|,Carry|Luck
開,かい|あ|ひら|,Open
集,しゅう|あつ|,Collect|Gather
飲,いん|の|,Drink
業,ぎょう|,Business
漢,かん|,Chinese|China
路,ろ|じ|みち|,Road
農,のう|,Farming|Agriculture
鉄,てつ|,Iron
歌,か|うた|,Song|Sing
算,さん|そろ|,Calculate|Calculation
聞,ぶん|もん|き|,Hear
語,ご|かた|,Language
読,とう|どく|よ|,Read
鳴,めい|な|,Chirp
線,せん|,Line
横,おう|よこ|,Side|Horizontal
調,ちょう|しら|,Investigate|Tone
親,しん|おや|した|,Parent
頭,ず|とう|あたま|,Head
顔,がん|かお|,Face
病,びょう|や|やまい|,Sick|Sickness|Ill|Illness
最,さい|もっと|,Most
争,そう|あらそ|,Conflict
仲,ちゅう|なか|,Relationship
伝,でん|つた|つて|,Transmit|Tell
共,きょう|とも|,Together
好,こう|す|この|,Like
成,せい|な|,Become
老,ろう|,Elderly
位,い|くらい|,Rank
低,てい|ひく|,Low
初,しょ|はじ|はつ|そ|ぞ|,First
別,べつ|わか|,Separate
利,り|き|,Profit|Benefit|Advantage
努,ど|つと|,Toil
労,ろう|いたわ|,Labor
命,めい|みょう|いのち|,Fate
岸,がん|きし|,Coast|Shore
放,ほう|はな|ほう|,Release
昔,むかし|,Long Ago|Long Time Ago
波,は|なみ|,Wave
注,ちゅう|そそ|さ|つ|,Pour
育,いく|そだ|はぐく|,Nurture|Raise
拾,ひろ|,Pick Up
指,し|ゆび|さ|,Finger
洋,よう|,Western Style|Ocean
神,しん|かみ|,God
秒,びょう|,Second
級,きゅう|,Level|Grade|Rank
追,つい|お|,Follow|Chase
戦,せん|たたか|,War|Battle
競,きょう|きそ|,Compete
良,りょう|よ|い|,Good
功,こう|,Achievement|Accomplishment
特,とく|,Special
便,べん|びん|たよ|,Convenience|Convenient
働,どう|はたら|,Work|Labor
令,れい|,Orders
意,い|,Idea
味,み|あじ|,Flavor|Taste
勉,べん|,Exertion
庭,てい|にわ|,Garden
息,そく|いき|,Breath
旅,りょ|たび|,Trip|Travel
根,こん|ね|,Root
流,りゅう|る|なが|,Stream
消,しょう|き|け|,Extinguish
倍,ばい|,Double|Times|Multiply
員,いん|,Member
島,とう|しま|,Island
祭,さい|まつり|まつ|,Festival
章,しょう|,Chapter
第,だい|,Ordinal Number Prefix|Ordinal Prefix|Number
都,と|つ|みやこ|,Metropolis
動,どう|うご|,Move
商,しょう|あきな|,Merchandise
悪,あく|お|わる|,Bad|Evil
族,ぞく|,Tribe|Family
深,しん|ふか|,Deep
球,きゅう|たま|,Sphere|Ball
童,どう|,Juvenile
陽,よう|ひ|はる|,Sunshine|Sunlight
階,かい|,Floor|Story|Storey
寒,かん|さむ|,Cold
悲,ひ|かな|,Sad
暑,しょ|あつ|,Hot|Hot Weather
期,き|,Period Of Time|Time Period
植,しょく|う|,Plant
歯,し|は|,Tooth|Teeth
温,おん|あたた|,Warm
港,こう|みなと|,Harbor|Port|Harbour
湯,とう|ゆ|,Hot Water
登,とう|と|のぼ|,Climb
着,ちゃく|き|つ|,Wear|Arrive
短,たん|みじか|,Short
野,や|の|,Field
泉,せん|いずみ|,Spring|Fountain
生,せい|しょう|い|なま|う|は|き|,Life
亡,ぼう|な|,Death|Deceased
合,ごう|がっ|あ|あい|,Suit|Fit|Join
風,ふう|ふ|かぜ|,Wind|Style
予,よ|あらかじ|,Beforehand
反,はん|,Anti
々,のま|,Repeater|Repetition|Reduplication|Iteration Mark
新,しん|あたら|あら|にい|,New
返,へん|かえ|,Return
問,もん|と|とん|,Problem
宿,しゅく|やど|,Lodge
想,そう|,Concept
感,かん|,Feeling
整,せい|ととの|,Arrange|Organize
暗,あん|くら|くれ|,Dark
様,よう|さま|,Formal Name Title|Formal Name Ender|Manner
橋,きょう|はし|,Bridge
福,ふく|,Luck|Fortune
緑,りょく|みどり|,Green
練,れん|ね|,Practice
詩,し|うた|,Poem
銀,ぎん|,Silver
題,だい|,Topic
館,かん|,Public Building
駅,えき|,Station|Train Station
億,おく|,Hundred Million
器,き|うつわ|,Container|Vessel
士,し|さむらい|,Samurai
料,りょう|,Fee|Material
標,ひょう|しるし|,Signpost
殺,さつ|ころ|,Kill
然,ぜん|ねん|しか|さ|,Nature
熱,ねつ|あつ|,Heat|Fever
課,か|,Section
賞,しょう|,Prize
輪,りん|わ|,Wheel|Ring|Loop
選,せん|えら|,Choose
鏡,きょう|かがみ|,Mirror
願,がん|ねが|ねがい|,Request
養,よう|やしな|,Foster
像,ぞう|,Statue|Image
情,じょう|なさけ|,Feeling|Emotion
謝,しゃ|あやま|,Apologize|Apologise
映,えい|うつ|は|,Reflect|Reflection
疑,ぎ|うたが|,Doubt
皆,かい|みな|みんな|,All|Everyone|Everything|Everybody
例,れい|たと|,Example
卒,そつ|,Graduate
協,きょう|,Cooperation
参,さん|しん|まい|,Participate
周,しゅう|まわ|,Circumference
囲,い|かこ|,Surround
固,こ|かた|,Hard
季,き|,Seasons
完,かん|,Perfect
希,き|まれ|,Wish
念,ねん|,Thought
折,せつ|お|,Fold|Bend
望,ぼう|のぞ|,Hope
材,ざい|,Lumber|Material|Timber
束,そく|たば|,Bundle
松,しょう|まつ|,Pine|Pine Tree
残,ざん|のこ|,Remainder
求,きゅう|もと|,Request
的,てき|まと|,Target|Al|~Al|Like|~Like
約,やく|,Promise
芸,げい|,Acting|Art
基,き|もと|,Foundation
性,せい|しょう|,Gender|Nature|Sex
技,ぎ|わざ|,Skill
格,かく|,Status
能,のう|,Ability
術,じゅつ|,Art
私,し|わたし|,I|Private
骨,こつ|ほね|,Bone
妥,だ|,Gentle
雰,ふん|,Atmosphere
頑,がん|,Stubborn
寺,じ|てら|,Temple
岩,がん|いわ|,Boulder
帰,き|かえ|,Return|Return Home
春,しゅん|はる|,Spring
昼,ちゅう|ひる|,Noon
晴,せい|は|,Clear Up
秋,あき|,Autumn|Fall
計,けい|はか|,Measure|Measurement
列,れつ|,Row
区,く|,District|Ward
坂,はん|さか|,Slope
式,しき|,Ritual|Ceremony|Equation
信,しん|,Believe|Trust
勇,ゆう|いさ|,Courage|Bravery|Valor|Valour
単,たん|,Simple
司,し|つかさど|,Director
変,へん|か|,Change|Strange
夫,ふう|ふ|おっと|,Husband
建,けん|た|,Build|Construct
昨,さく|,Previous|Yesterday
毒,どく|,Poison
法,ほう|,Method|Law
泣,きゅう|な|,Cry
浅,せん|あさ|,Shallow
紀,き|,Account|Narrative
英,えい|,England|English
軍,ぐん|,Army
飯,はん|めし|,Meal|Food
仏,ぶつ|ほとけ|,Buddha
築,ちく|きず|,Construct|Build
晩,ばん|,Night|Evening
猫,ねこ|,Cat
園,えん|,Garden|Park
曜,よう|,Weekday|Day Of The Week
書,しょ|か|,Write|Writing
遠,えん|とお|,Far
門,もん|,Gates|Gate
係,けい|かか|かかり|,Connection
取,しゅ|と|,Take
品,ひん|しな|,Product|Article|Goods|Products
守,す|しゅ|まも|もり|,Protect
幸,こう|しあわ|さいわ|さち|,Happiness
急,きゅう|いそ|,Hurry
真,しん|ま|,Reality
箱,はこ|,Box
荷,か|に|,Luggage
面,めん|おも|おもて|,Face|Surface
典,てん|,Rule
喜,き|よろこ|,Rejoice|Delighted|Pleased
府,ふ|,Government
治,じ|ち|なお|,Cure|Heal|Reign|Rule
浴,よく|あ|,Bathe
笑,しょう|わら|え|,Laugh
辞,じ|や|,Quit|Word
関,かん|かか|せき|,Related|Connected
保,ほ|たも|,Preserve|Guarantee
弁,べん|,Dialect|Speech
政,せい|,Politics|Government
留,る|りゅう|と|,Detain
証,しょう|あかし|,Evidence|Proof
険,けん|けわ|,Risky|Steep
危,き|あぶ|あや|,Dangerous
存,そん|ぞん|,Exist|Suppose
専,せん|もっぱ|,Specialty
冒,ぼう|おか|,Dare
冗,じょう|,Superfluous|Unnecessary|Uselessness
阪,はん|さか|,Heights|Slope
原,げん|はら|,Original|Fundamental|Field
細,さい|ほそ|こま|,Thin
薬,やく|くすり|,Medicine|Drug|Drugs
鼻,び|はな|,Nose
側,そく|がわ|そば|,Side
兵,へい|ひょう|,Soldier
堂,どう|,Hall|Public Chamber
塩,えん|しお|,Salt
席,せき|,Seat
敗,はい|やぶ|,Failure|Fail
果,か|くだ|は|,Fruit
栄,えい|さか|,Prosper|Flourish
梅,ばい|うめ|,Ume|Japanese Plum
無,む|ぶ|な|,Nothing
結,けつ|むす|ゆ|,Bind|Tie
因,いん|よ|,Cause
常,じょう|つね|,Ordinary|Normal|Usual
識,しき|,Discerning|Discriminating|Know
非,ひ|,Injustice|Negative|Mistake
干,かん|ほ|ひ|,Dry
是,ぜ|,Absolutely
渉,しょう|わた|,Ford
虚,きょ|こ|むな|,Void
官,かん|,Government
察,さつ|,Guess
底,てい|そこ|,Bottom
愛,あい|まな|,Love
署,しょ|,Government Office|Political Office|Office
警,けい|,Warn|Admonish
恋,れん|こい|,Romance
覚,かく|おぼ|さ|,Memorize|Awake
説,せつ|と|,Theory
幻,げん|まぼろし|,Illusion
訓,くん|よ|,Instruction
試,し|こころ|ため|,Try|Attempt
弓,きゅう|ゆみ|,Bow
告,こく|つ|,Announce
種,しゅ|たね|ぐさ|,Kind|Type
達,たつ|たち|,Attain|Plural
類,るい|たぐ|,Type|Category|Kind
報,ほう|むく|,News|Report
祈,き|いの|,Pray
等,とう|ひと|など|,Equal
汽,き|,Steam
借,しゃく|か|,Borrow
焼,しょう|や|,Bake|Cook|Burn
座,ざ|すわ|,Sit|Seat
忘,ぼう|わす|,Forget
洗,せん|あら|,Wash
胸,きょう|むね|,Chest|Breast
脳,のう|,Brain
僧,そう|,Priest|Monk
禅,ぜん|,Zen|Zen Buddhism
験,けん|ため|ためし|,Test
可,か|,Possible|Passable
許,きょ|ゆる|,Permit|Allow
枚,まい|,Flat Objects Counter|Flat Object|Counter For Flat Objects
静,せい|しず|,Quiet
句,く|,Paragraph
禁,きん|,Prohibit|Prohibition
喫,きつ|の|,Consume
煙,えん|けむ|けむり|,Smoke
加,か|くわ|,Add
節,せつ|ふし|,Season
減,げん|へ|,Decrease
順,じゅん|,Order|Sequence
容,よう|,Form|Appearance|Shape|Figure
布,ふ|ぬの|,Cloth
易,い|えき|やさ|,Easy
財,さい|ざい|,Wealth
若,じゃく|わか|も|,Young
詞,し|,Part Of Speech|Speech Particle|Particle Of Speech|Grammar Particle
昆,こん|,Descendants
閥,ばつ|,Clique|Clan
歴,れき|へ|,Continuation
舌,ぜつ|した|,Tongue
